name,supply_reduction,wsi_increase,gap_change,optimistic_count,moderate_count,pessimistic_count,total_pessimistic,total_moderate,total_optimistic
Drought(Optimistic)+Energy(Moderate)+Conflict(Optimistic)+Cyber(Optimistic),30.825977584747328,0.5665426690769586,-745.8673932990497,3,1,0,0,1,3
Drought(Optimistic)+Energy(Moderate)+Conflict(Optimistic)+Cyber(Moderate),35.30709724318156,0.7197797147882963,-867.6149332990494,2,2,0,0,2,2
Drought(Optimistic)+Energy(Moderate)+Conflict(Optimistic)+Cyber(Pessimistic),47.47235268136478,1.3705730861168204,-1198.1327582990498,2,1,1,1,1,2
Drought(Optimistic)+Energy(Moderate)+Conflict(Moderate)+Cyber(Optimistic),43.0331580109684,0.8061586316854663,-877.5746236787945,2,2,0,0,2,2
Drought(Optimistic)+Energy(Moderate)+Conflict(Moderate)+Cyber(Moderate),46.723491847326,0.9783776928834282,-977.8373036787942,1,3,0,0,3,1
Drought(Optimistic)+Energy(Moderate)+Conflict(Moderate)+Cyber(Pessimistic),56.74193750230042,1.7097871436711,-1250.0284536787944,1,2,1,1,2,1
Drought(Optimistic)+Energy(Moderate)+Conflict(Pessimistic)+Cyber(Optimistic),67.44751886341051,1.8840375332525074,-1179.8681839477772,2,1,1,1,1,2
Drought(Optimistic)+Energy(Moderate)+Conflict(Pessimistic)+Cyber(Moderate),69.55628105561485,2.1416445368042076,-1237.161143947777,1,2,1,1,2,1
Drought(Optimistic)+Energy(Moderate)+Conflict(Pessimistic)+Cyber(Pessimistic),75.28110714417167,3.2356941482477772,-1392.6989439477775,1,1,2,2,1,1
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Optimistic),34.01586624461703,0.5665426690769586,-832.5334782990496,3,0,1,1,0,3
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Moderate),38.3681015127535,0.7197797147882963,-950.7793582990494,2,1,1,1,1,2
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Optimistic)+Cyber(Pessimistic),50.37225146306452,1.3705730861168204,-1276.9201082990498,2,0,2,2,0,2
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Moderate)+Cyber(Optimistic),45.660125142625795,0.8061586316854663,-948.9466936787946,2,1,1,1,1,2
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Moderate)+Cyber(Moderate),49.24431889285583,0.9783776928834282,-1046.3256536787944,1,2,1,1,2,1
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Moderate)+Cyber(Pessimistic),59.130089440170785,1.7097871436711,-1314.9121536787945,1,1,2,2,1,1
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Optimistic),68.9486429386433,1.8840375332525074,-1220.6522239477772,2,0,2,2,0,2
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Moderate),70.99675365306047,2.1416445368042076,-1276.2973439477773,1,1,2,2,1,1
Drought(Optimistic)+Energy(Pessimistic)+Conflict(Pessimistic)+Cyber(Pessimistic),76.64576539438329,3.2356941482477772,-1429.7753439477774,1,0,3,3,0,1
Drought(Moderate)+Energy(Optimistic)+Conflict(Optimistic)+Cyber(Optimistic),36.93636663108692,0.9382857819228148,-911.8805532990498,3,1,0,0,1,3
Drought(Moderate)+Energy(Optimistic)+Conflict(Optimistic)+Cyber(Moderate),41.0698838750046,1.131740285494751,-1024.1840832990497,2,2,0,0,2,2
Drought(Moderate)+Energy(Optimistic)+Conflict(Optimistic)+Cyber(Pessimistic),52.04196694762413,1.9723376494759137,-1322.2846082990495,2,1,1,1,1,2
Drought(Moderate)+Energy(Optimistic)+Conflict(Moderate)+Cyber(Optimistic),48.06524310795393,1.223950880315227,-1014.2913436787948,2,2,0,0,2,2
Drought(Moderate)+Energy(Optimistic)+Conflict(Moderate)+Cyber(Moderate),51.46931613235674,1.4413692782947678,-1106.7766036787943,1,3,0,0,3,1
Drought(Moderate)+Energy(Optimistic)+Conflict(Moderate)+Cyber(Pessimistic),60.50514925098458,2.3860944144281246,-1352.2711536787947,1,2,1,1,2,1
